hegel | Being-for-self is first immediately a being-for-self the One | Science of Logic
hegel | The One passes into a plurality of ones which is repulsion and this otherness of the ones is sublated in their ideality which is attraction | Science of Logic
hegel | Repulsion and attraction in which they collapse into equilibrium and quality which in being-for-self reached its climax passes over into quantity | Science of Logic
hegel | Measure is the simple relation of the quantum to itself | Science of Logic
hegel | Measure is the qualitative quantum | Science of Logic
hegel | Speculative thinking consists solely in the fact that thought holds fast contradiction and in it its own self | Science of Logic
hegel | It is only spirit which can endure contradiction | Science of Logic
hegel | The nature of thinking is dialectic and its movement is that of contradiction | Science of Logic
hegel | The Absolute is Spirit this is the highest definition of the Absolute | Encyclopaedia of the Philosophical Sciences
hegel | To find this definition and to grasp its meaning and content this was the aim of all culture and philosophy | Encyclopaedia of the Philosophical Sciences
hegel | Spirit is the infinite Idea and finitude here means the disproportion between the concept and the reality | Encyclopaedia of the Philosophical Sciences
hegel | The finite is therefore something which must pass beyond itself | Encyclopaedia of the Philosophical Sciences
hegel | The infinite is the affirmation of itself as free from all determination | Encyclopaedia of the Philosophical Sciences
hegel | In the syllogism there is brought to light the totality in which the extremes are united through the middle term | Encyclopaedia of the Philosophical Sciences
hegel | The syllogism is what is reasonable and everything reasonable is a syllogism | Encyclopaedia of the Philosophical Sciences
hegel | Life is the immediate idea or the idea as yet not realised in its truth | Encyclopaedia of the Philosophical Sciences
hegel | The living thing is a syllogism whose very moments are inwardly systems and syllogisms | Encyclopaedia of the Philosophical Sciences
hegel | Cognition is the third and highest moment of the idea | Encyclopaedia of the Philosophical Sciences
hegel | The will is free only when it does not will anything alien extrinsic or foreign to itself | Encyclopaedia of the Philosophical Sciences
hegel | Freedom is just as primary and fundamental a characteristic of the will as weight is of matter | Encyclopaedia of the Philosophical Sciences
hegel | If we hear it said that the definition of freedom is ability to do what we please such an idea can only be taken to reveal an utter immaturity of thought | Encyclopaedia of the Philosophical Sciences
hegel | The will which is free in and for itself is truly infinite because its object is itself | Encyclopaedia of the Philosophical Sciences
hegel | The universal will is not a will which exists apart from individual wills | Encyclopaedia of the Philosophical Sciences
hegel | The determinations of the will are its own and not something merely external | Encyclopaedia of the Philosophical Sciences
hegel | Right is something utterly sacred for the sole reason that it is the embodiment of the absolute concept | Philosophy of Right
hegel | Right is any existence in general which is the existence of the free will | Philosophy of Right
hegel | Property is the first embodiment of freedom and so is in itself a substantive end | Philosophy of Right
hegel | The person must give himself an external sphere of freedom in order to have being as Idea | Philosophy of Right
hegel | The will of a child is so far not immediately the will of a fully developed person | Philosophy of Right
hegel | Education is the art of making men ethical | Philosophy of Right
hegel | Right in its existence is wrong and the manifestation of the nullity of this existence is the punishment | Philosophy of Right
